datetime,open,high,low,close,volume
2024-02-26,0.5921,0.765,0.5734,0.7288,6230570183.0
2024-03-04,0.7288,0.8,0.5501,0.7173,5942308447.0
2024-03-11,0.7172,0.8117,0.6292,0.6818,6428079516.0
2024-03-18,0.6817,0.6996,0.5691,0.6474,5033939684.0
2024-03-25,0.6473,0.6842,0.6307,0.6506,2787965284.0
2024-04-01,0.6507,0.6522,0.5593,0.5898,3033680811.0
2024-04-08,0.5898,0.6247,0.3953,0.4671,6152903400.0
2024-04-15,0.4671,0.5124,0.4223,0.499,5197502926.0
2024-04-22,0.4991,0.5223,0.4427,0.4601,3289092948.0
2024-04-29,0.46,0.4758,0.4181,0.4577,3340004492.0
2024-05-06,0.4578,0.4761,0.4324,0.4374,2832046971.0
2024-05-13,0.4374,0.4906,0.4246,0.4671,2811967875.0
2024-05-20,0.4671,0.5108,0.4416,0.4581,3127741272.0
2024-05-27,0.4581,0.4754,0.4406,0.4466,2246365861.0
2024-06-03,0.4466,0.4906,0.4218,0.4441,2811368719.0
2024-06-10,0.4442,0.4513,0.3967,0.4166,2605521133.0
2024-06-17,0.4167,0.421,0.3526,0.3798,3335070230.0
2024-06-24,0.3799,0.4037,0.3588,0.3923,2719853311.0
2024-07-01,0.3923,0.4235,0.3158,0.3465,4166478846.0
2024-07-08,0.3466,0.4464,0.3296,0.4316,3401000369.0
2024-07-15,0.4315,0.4564,0.4141,0.4467,3091601299.0
2024-07-22,0.4466,0.4502,0.3812,0.407,2517374325.0
2024-07-29,0.4069,0.427,0.3333,0.344,3071208956.0
2024-08-05,0.344,0.3563,0.275,0.3274,4224278087.0
2024-08-12,0.3274,0.3455,0.3201,0.3341,2323737253.0
2024-08-19,0.334,0.4012,0.3274,0.3846,2594472414.0
2024-08-26,0.3845,0.3878,0.3265,0.3308,2493528018.0
2024-09-02,0.3307,0.3408,0.3031,0.3388,3288582288.0
2024-09-09,0.3388,0.3649,0.3297,0.3382,2286631119.0
2024-09-16,0.3382,0.3611,0.3261,0.3515,2200891097.0
2024-09-23,0.3515,0.4156,0.345,0.3972,2601818635.0
2024-09-30,0.3973,0.3975,0.3314,0.3573,3024686338.0
2024-10-07,0.3573,0.3683,0.3311,0.3483,2232632885.0
2024-10-14,0.3483,0.3712,0.3391,0.3648,2536138142.0
2024-10-21,0.3649,0.373,0.312,0.3397,2814397898.0
2024-10-28,0.3396,0.3641,0.3271,0.3339,2827667746.0
2024-11-04,0.3338,0.66,0.32,0.5907,9256405176.0
2024-11-11,0.5907,0.8199,0.5191,0.703,13935698648.0
2024-11-18,0.703,1.1575,0.7006,1.0233,12606570816.0
2024-11-25,1.0234,1.165,0.8753,1.1512,7772147623.0
2024-12-02,1.1511,1.329,1.0574,1.1947,8905244258.0
